Country_Code,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no)
MRT,1,0,1,0,0,1,1,0,1,1,1,0,0,0
MUS,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MWI,0,1,1,1,1,1,1,0,0,1,1,1,1,1
MYS,0,1,1,1,0,1,1,0,1,0,1,1,0,0
NAC,,,,,,,,,,,,,,
NAM,1,1,1,1,1,1,1,0,0,1,1,1,1,1
NCL,,,,,,,,,,,,,,
NER,0,0,1,0,0,1,1,0,1,1,1,0,1,0
NGA,0,1,1,1,1,1,1,0,0,1,1,1,0,1
NIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOR,1,1,1,1,1,1,1,0,1,1,1,1,1,1
NPL,0,1,1,1,1,1,1,0,1,1,1,1,1,1
NRU,,,,,,,,,,,,,,
NZL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OED,,,,,,,,,,,,,,
OMN,0,0,0,1,0,1,1,0,0,0,0,0,1,0
OSS,,,,,,,,,,,,,,
PAK,1,1,1,1,0,1,1,0,0,1,0,1,0,0
PAN,1,1,1,1,1,1,1,0,1,1,1,0,1,0
PER,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PHL,1,1,1,1,0,1,1,1,0,1,1,1,1,0
PLW,1,1,1,1,1,1,1,0,1,1,1,1,1,1
PNG,1,1,1,1,1,1,1,0,0,1,1,0,0,1
POL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRE,,,,,,,,,,,,,,
PRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRK,,,,,,,,,,,,,,
PRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSE,0,1,0,0,0,1,1,0,1,0,0,0,0,0
PSS,,,,,,,,,,,,,,
PST,,,,,,,,,,,,,,
PYF,,,,,,,,,,,,,,
QAT,0,1,0,0,0,1,1,0,1,0,1,0,1,0
ROU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RUS,1,1,1,1,1,1,1,0,1,1,1,0,0,1
RWA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SAS,,,,,,,,,,,,,,
SAU,1,1,1,1,0,1,1,1,1,1,1,1,1,0
SDN,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SEN,0,0,1,1,1,1,1,0,1,1,1,0,0,0
SGP,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SLB,1,1,1,1,1,1,1,0,0,1,0,1,0,1
SLE,1,1,1,1,1,1,1,0,1,1,1,1,0,1
SLV,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SMR,1,1,1,1,1,1,1,0,1,1,1,1,1,0
SOM,0,0,1,1,0,1,1,0,1,1,0,1,0,0
SRB,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SSA,,,,,,,,,,,,,,
SSD,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SSF,,,,,,,,,,,,,,
SST,,,,,,,,,,,,,,
STP,1,1,1,1,1,1,1,0,1,1,1,1,1,0
SUR,1,1,1,1,1,0,1,0,1,1,1,1,1,0
SVK,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SVN,1,1,1,1,1,1,1,1,1,1,1,1,0,1
SWE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SWZ,1,0,1,0,0,0,0,0,1,1,1,1,0,0
SXM,,,,,,,,,,,,,,
SYC,1,1,1,1,1,1,1,0,0,1,1,1,1,1
SYR,0,1,0,0,0,1,1,0,1,1,0,0,0,0
TCA,,,,,,,,,,,,,,
TCD,0,0,1,0,1,1,1,0,1,1,1,0,0,0
TEA,,,,,,,,,,,,,,
TEC,,,,,,,,,,,,,,
TGO,1,1,1,1,1,1,1,0,1,1,1,1,1,0
THA,1,1,1,1,1,1,1,0,1,1,1,1,0,0
TJK,1,1,1,1,1,1,1,1,1,1,1,0,0,1
TKM,,,,,,,,,,,,,,
TLA,,,,,,,,,,,,,,
TLS,1,1,1,1,1,1,1,0,1,1,1,1,1,0
TMN,,,,,,,,,,,,,,
TON,1,1,1,1,1,1,1,0,1,1,1,1,1,1
TSA,,,,,,,,,,,,,,
TSS,,,,,,,,,,,,,,
TTO,1,1,1,1,0,1,1,1,0,1,1,1,1,1
TUN,1,0,1,1,1,1,1,0,1,1,0,1,0,0
TUR,1,1,1,1,1,1,1,0,1,1,1,1,0,0
TUV,,,,,,,,,,,,,,
TZA,1,1,1,1,1,1,1,0,1,1,1,1,1,1
UGA,0,1,1,1,0,1,1,0,1,1,1,1,1,1
UKR,1,1,1,1,1,1,1,1,1,1,0,0,0,1
UMC,,,,,,,,,,,,,,
URY,1,1,1,1,1,1,1,0,1,1,1,1,0,0
USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UZB,1,1,1,1,1,1,1,1,1,1,1,0,0,1
VCT,1,1,1,1,1,1,1,0,0,1,1,1,0,1
VEN,1,1,1,1,1,1,1,0,1,1,1,1,1,1
VGB,,,,,,,,,,,,,,
VIR,,,,,,,,,,,,,,
VNM,1,1,1,1,1,1,1,1,1,1,1,1,0,1
VUT,0,0,1,1,1,1,1,1,1,1,0,1,1,1
WLD,,,,,,,,,,,,,,
WSM,1,1,1,1,1,1,1,0,0,1,1,1,1,1
XKX,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YEM,0,0,1,0,0,1,1,0,0,0,0,0,1,0
ZAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZMB,1,1,1,1,0,1,1,1,0,1,1,1,1,1
ZWE,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Grand Total,154,160,181,170,143,184,187,83,157,175,166,136,117,121
